id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date
ciiu_1,pe_ciiu,1110,CULTIVOS DE CEREALES.,,,,,
ciiu_2,pe_ciiu,1123,CULTIVO DE HORTALIZAS Y LEGUMBRES.,,,,,
ciiu_3,pe_ciiu,1136,CULTIVO DE FRUTAS.,,,,,
ciiu_4,pe_ciiu,1211,CRIA DE GANADO.,,,,,
ciiu_5,pe_ciiu,1224,CRIA DE ANIMALES DOMESTICOS.,,,,,
ciiu_6,pe_ciiu,1300,EXPLOTACION MIXTA.,,,,,
ciiu_7,pe_ciiu,1400,"SERVICIOS AGRICOLAS, GANADERAS.",,,,,
ciiu_8,pe_ciiu,1501,CAZA ORDINARIA Y SERVICIOS CONEXOS.,,,,,
ciiu_9,pe_ciiu,2003,SILVICULTURA Y EXT. DE MADERA.,,,,,
ciiu_10,pe_ciiu,5002,"PESCA, EXPLOT. CRIADEROS DE PECES.",,,,,
ciiu_11,pe_ciiu,10100,EXTRAC. Y  AGLOMERAC. CARBON DE PIEDRA.,,,,,
ciiu_12,pe_ciiu,10200,EXTRAC. Y AGLOMERAC. LIGNITO.,,,,,
ciiu_13,pe_ciiu,10301,EXTRAC. Y AGLOMERAC. DE TURBA.,,,,,
ciiu_14,pe_ciiu,11106,EXT. PETROLEO CRUDO Y GAS NATURAL.,,,,,
ciiu_15,pe_ciiu,11207,SERV. PETROLEROS Y DE GAS..,,,,,
ciiu_16,pe_ciiu,12001,EXT. DE MIN. URANIO Y TORIO,,,,,
ciiu_17,pe_ciiu,13109,EXT. DE MIN. DE HIERRO,,,,,
ciiu_18,pe_ciiu,13200,EXT. DE MIN. METALIFEROS NO FERROSOS.,,,,,
ciiu_19,pe_ciiu,14105,"EXT. DE PIEDRA, ARENA Y ARCILLA.",,,,,
ciiu_20,pe_ciiu,14219,EXT. MIN FABRIC. ABONO Y PROD. QUIMIC.,,,,,
ciiu_21,pe_ciiu,14221,EXTRACCION DE SAL.,,,,,
ciiu_22,pe_ciiu,14290,EXP. OTRAS MINAS Y CANTERAS NIA.,,,,,
ciiu_23,pe_ciiu,15114,PRODUC. CARNE Y PROD. CARNICOS.,,,,,
ciiu_24,pe_ciiu,15127,ELAB. Y CONS DE PESCADO.,,,,,
ciiu_25,pe_ciiu,15130,"ELAB. FRUTAS, LEG. Y HORTALIZAS.",,,,,
ciiu_26,pe_ciiu,15142,ELAB. DE ACEITE Y GRASAS.,,,,,
ciiu_27,pe_ciiu,15202,ELAB DE PRODUCTOS LACTEOS.,,,,,
ciiu_28,pe_ciiu,15316,ELAB. DE PRODUCTOS DE MOLINERIA.,,,,,
ciiu_29,pe_ciiu,15329,ELAB DE ALMIDONES Y DERIVADOS.,,,,,
ciiu_30,pe_ciiu,15331,ELAB. DE PIENSOS PREPARADOS.,,,,,
ciiu_31,pe_ciiu,15417,ELAB. PROD. DE PANADERIA.,,,,,
ciiu_32,pe_ciiu,15420,ELAB. DE AZUCAR.,,,,,
ciiu_33,pe_ciiu,15432,"ELAB. CACAO, CHOCOLATE Y CONFIT.",,,,,
ciiu_34,pe_ciiu,15445,"ELAB. MACARRONES, FIDEOS Y OTROS.",,,,,
ciiu_35,pe_ciiu,15499,ELAB DE OTROS PROD. ALIMENTICIOS.,,,,,
ciiu_36,pe_ciiu,15518,MEZCLA DE BEBIDAS ALCOHOLICAS.,,,,,
ciiu_37,pe_ciiu,15520,ELAB. DE VINOS.,,,,,
ciiu_38,pe_ciiu,15533,ELAB. DE BEBIDAS MALTEADAS.,,,,,
ciiu_39,pe_ciiu,15546,ELAB. DE BEBIDAS NO ALCOHOLICAS.,,,,,
ciiu_40,pe_ciiu,16007,ELAB. DE PRODUCTOS DE TABACO.,,,,,
ciiu_41,pe_ciiu,17117,PREP Y TEJ DE FIBRAS TEXTILES.,,,,,
ciiu_42,pe_ciiu,17120,ACABADO DE PROD. TEXTILES.,,,,,
ciiu_43,pe_ciiu,17218,FAB. ART. CONFECCIONADOS.,,,,,
ciiu_44,pe_ciiu,17220,FAB. DE TAPICES Y ALFOMBRAS.,,,,,
ciiu_45,pe_ciiu,17233,"FAB. CUERDAS, CORDELES Y REDES.",,,,,
ciiu_46,pe_ciiu,17290,FAB. OTROS PROD. TEXTILES NEOP.,,,,,
ciiu_47,pe_ciiu,17306,FAB. TEJIDOS Y ART DE PUNTO.,,,,,
ciiu_48,pe_ciiu,18100,FAB. DE PRENDAS DE VESTIR.,,,,,
ciiu_49,pe_ciiu,18201,FAB. DE ARTICULOS DE PIEL.,,,,,
ciiu_50,pe_ciiu,19110,CURTIDO Y ADOBO DE CUEROS.,,,,,
ciiu_51,pe_ciiu,19122,FAB. DE MALETAS Y OTROS.,,,,,
ciiu_52,pe_ciiu,19208,FAB. DE CALZADO.,,,,,
ciiu_53,pe_ciiu,20108,ASERRADO Y ACEPILLADURA MADERA.,,,,,
ciiu_54,pe_ciiu,20211,FAB. DE HOJAS DE MADERA.,,,,,
ciiu_55,pe_ciiu,20224,FAB. PARTES Y PIEZAS CARPINTERIA.,,,,,
ciiu_56,pe_ciiu,20237,FAB. RECIPIENTES DE MADERA.,,,,,
ciiu_57,pe_ciiu,20293,FAB. OTROS PRODUCTOS DE MADERA.,,,,,
ciiu_58,pe_ciiu,21016,FAB. DE PAPEL Y CARTON.,,,,,
ciiu_59,pe_ciiu,21029,FAB.  ENVASES DE PAPEL Y CARTON.,,,,,
ciiu_60,pe_ciiu,21098,FAB. DE OTROS ARTICULOS.,,,,,
ciiu_61,pe_ciiu,22113,"ED. LIBROS, FOLLETOS Y OTROS.",,,,,
ciiu_62,pe_ciiu,22126,ED. DE PERIODICOS Y REVISTAS.,,,,,
ciiu_63,pe_ciiu,22139,ED. DE MATERIALES GRABADOS.,,,,,
ciiu_64,pe_ciiu,22195,OTROS TRABAJOS DE EDICION.,,,,,
ciiu_65,pe_ciiu,22214,ACTIVIDADES DE IMPRESION.,,,,,
ciiu_66,pe_ciiu,22227,SERVICIOS RDOS CON IMPRESION.,,,,,
ciiu_67,pe_ciiu,22302,REPRODUCCION MATERIALES GRAB.,,,,,
ciiu_68,pe_ciiu,23107,FAB. PROD. DE HORNOS DE COQUE.,,,,,
ciiu_69,pe_ciiu,23208,FAB. PROD.  REFINACION DEL PETROLEO.,,,,,
ciiu_70,pe_ciiu,23309,ELAB. DE COMBUSTIBLES NUCLEAR.,,,,,
ciiu_71,pe_ciiu,24116,FAB. DE SUSTANCIAS QUIMICAS BASICAS.,,,,,
ciiu_72,pe_ciiu,24129,FAB. ABONO  Y COMP. DE NITROGENO.,,,,,
ciiu_73,pe_ciiu,24131,FAB. DE PLASTICOS Y DE CAUCHO.,,,,,
ciiu_74,pe_ciiu,24217,FAB. DE PLAGUICIDAS Y OTROS PROD. QUIM.,,,,,
ciiu_75,pe_ciiu,24220,FAB. DE PINTURAS Y BARNICES.,,,,,
ciiu_76,pe_ciiu,24232,FAB. DE PROD. FARMACEUTICOS.,,,,,
ciiu_77,pe_ciiu,24245,FAB. JABONES Y DETERGENTES.,,,,,
ciiu_78,pe_ciiu,24299,FAB. DE OTROS PROD. QUIMICOS NEOP.,,,,,
ciiu_79,pe_ciiu,24305,FAB. DE FIBRAS SINTETICAS O ARTIFIC.,,,,,
ciiu_80,pe_ciiu,25112,FAB. DE CUBIERTOS DE CAUCHO.,,,,,
ciiu_81,pe_ciiu,25194,FAB. OTROS PRODUCTOS DE CAUCHO.,,,,,
ciiu_82,pe_ciiu,25200,FAB. DE PRODUCTOS DE PLASTICOS.,,,,,
ciiu_83,pe_ciiu,26106,FAB. VIDRIO Y PROD. DE VIDRIO,,,,,
ciiu_84,pe_ciiu,26916,FAB. PROD. CERAMICA NO REFRACT. N. EST.,,,,,
ciiu_85,pe_ciiu,26929,FAB. PROD. CERAMICA REFACTARIA.,,,,,
ciiu_86,pe_ciiu,26931,FAB. PROD. CERAMICA NO REFRACT. EST.,,,,,
ciiu_87,pe_ciiu,26944,"FAB. DE CEMENTO, CAL Y YESO.",,,,,
ciiu_88,pe_ciiu,26957,"FAB.  ART. DE HORMIGON, CEMENTO Y YESO.",,,,,
ciiu_89,pe_ciiu,26960,"CORTE, TALLADO Y ACABADO DE PIEDRA.",,,,,
ciiu_90,pe_ciiu,26998,FAB. OTROS PROD. MIN. NO METALIC. NCP.,,,,,
ciiu_91,pe_ciiu,27102,FAB. PRODUCTOS DE HIERRO Y ACERO.,,,,,
ciiu_92,pe_ciiu,27203,FAB. PRODUCTOS DE MET. PRECIOSOS.,,,,,
ciiu_93,pe_ciiu,27317,FUNDICION DE HIERRO Y DE ACERO.,,,,,
ciiu_94,pe_ciiu,27320,FUNDICION DE METALES NO FERROSOS.,,,,,
ciiu_95,pe_ciiu,28111,FAB. PROD. METAL. USO ESTRUCTURAL.,,,,,
ciiu_96,pe_ciiu,28124,"FAB. TANQUES, DEPOSITOS Y RECIP. METAL.",,,,,
ciiu_97,pe_ciiu,28137,FAB.  DE GENERADORES DE VAPOR.,,,,,
ciiu_98,pe_ciiu,28919,FAB. PROD. MET. ACABADOS O SEMIACABAD.,,,,,
ciiu_99,pe_ciiu,28921,OBRAS DE INGENIERIA MECANICA.,,,,,
ciiu_100,pe_ciiu,28934,"FAB.  ART. CUCHILLERIA, FERRETERIA.",,,,,
ciiu_101,pe_ciiu,28990,FAB. OTROS PROD. DE METAL NCP.,,,,,
ciiu_102,pe_ciiu,29118,FAB. DE MOTORES Y TURBINAS.,,,,,
ciiu_103,pe_ciiu,29120,"FAB. DE BOMBAS,  COMPRESORAS, GRIFOS.",,,,,
ciiu_104,pe_ciiu,29133,FAB.  COJINETES Y ENGRANAJES.,,,,,
ciiu_105,pe_ciiu,29146,"FAB. HORNOS, HOGUERAS, QUEMADORES.",,,,,
ciiu_106,pe_ciiu,29159,FAB. EQUIP.  ELEVACION Y MANIPULACION.,,,,,
ciiu_107,pe_ciiu,29190,FAB. OTRO TIPO MAQUINARIA USO GRAL.,,,,,
ciiu_108,pe_ciiu,29219,FAB. DE MAQUINARIA  AGROPECUARIA.,,,,,
ciiu_109,pe_ciiu,29221,FAB. DE MAQUINAS HERRAMIENTA.,,,,,
ciiu_110,pe_ciiu,29234,FAB. DE MAQUINARIA  METALURGICA.,,,,,
ciiu_111,pe_ciiu,29247,FAB. MAQUIN MINERA Y OBRAS DE CONST.,,,,,
ciiu_112,pe_ciiu,29250,"FAB. MAQUIN. ELAB. ALIMENTOS, BEBIDAS.",,,,,
ciiu_113,pe_ciiu,29262,FAB. MAQUINARIA ELAB. TEXTILES.,,,,,
ciiu_114,pe_ciiu,29275,FAB. DE ARMAS Y MUNICIONES.,,,,,
ciiu_115,pe_ciiu,29290,FAB. OTRO TIPO MAQUIN. USO ESPECIAL.,,,,,
ciiu_116,pe_ciiu,29307,FAB.  APARATOS DE USO DOMESTICO NCP.,,,,,
ciiu_117,pe_ciiu,30005,FAB.  MAQUINARIA DE OFICINA.,,,,,
ciiu_118,pe_ciiu,31102,"FAB.  MOTORES,  GENERADORES ELECTRICOS.",,,,,
ciiu_119,pe_ciiu,31203,FAB. DE APARATOS DE DISTRIBUCION.,,,,,
ciiu_120,pe_ciiu,31304,FAB. DE HILOS Y CABLES AISLADOS.,,,,,
ciiu_121,pe_ciiu,31405,FAB. DE ACUMULADORES Y BATERIAS.,,,,,
ciiu_122,pe_ciiu,31506,FAB. DE LAMPARAS ELECTRICAS.,,,,,
ciiu_123,pe_ciiu,31900,FAB. OTRO TIPO EQUIPO ELECTRICO NCP.,,,,,
ciiu_124,pe_ciiu,32109,FAB. TUBOS Y VALVULAS ELECTRONICOS.,,,,,
ciiu_125,pe_ciiu,32200,FAB. TRANSMISORES DE RADIO Y TV.,,,,,
ciiu_126,pe_ciiu,32300,FAB. RECEPTORES DE RADIO Y TV.,,,,,
ciiu_127,pe_ciiu,33118,FAB. EQUIPO MEDICO Y QUIRURGICO.,,,,,
ciiu_128,pe_ciiu,33120,FAB. INSTRUMENTOS DE MEDICION.,,,,,
ciiu_129,pe_ciiu,33133,FAB. EQUIPO CONTROL DE PROCESOS IND.,,,,,
ciiu_130,pe_ciiu,33206,FAB. INSTRUMENTOS OPTICOS.,,,,,
ciiu_131,pe_ciiu,33307,FAB. DE RELOJES.,,,,,
ciiu_132,pe_ciiu,34101,FAB. VEHICULOS AUTOMOTORES.,,,,,
ciiu_133,pe_ciiu,34202,FAB. CARROCERIAS PARA VEHICULOS.,,,,,
ciiu_134,pe_ciiu,34303,"FAB. PARTES, PIEZAS Y ACCESORIOS.",,,,,
ciiu_135,pe_ciiu,35110,CONSTRUCCION Y REPARACION  DE BUQUES.,,,,,
ciiu_136,pe_ciiu,35123,CONSTRUC. Y REPARAC. DE EMBARCACIONES.,,,,,
ciiu_137,pe_ciiu,35209,FAB. LOCOMOTORAS Y MATERIAL RODANTE.,,,,,
ciiu_138,pe_ciiu,35300,FAB. AERONAVES Y NAVES ESPACIALES.,,,,,
ciiu_139,pe_ciiu,35918,FAB. DE MOTOCICLETAS.,,,,,
ciiu_140,pe_ciiu,35920,FAB. BICICLETAS Y SILLONES DE RUEDAS.,,,,,
ciiu_141,pe_ciiu,35990,FAB. OTROS EQUIPOS DE  TRANSPORTE NCP.,,,,,
ciiu_142,pe_ciiu,36104,FAB. DE MUEBLES.,,,,,
ciiu_143,pe_ciiu,36914,FAB. JOYAS Y ARTICULOS CONEXOS.,,,,,
ciiu_144,pe_ciiu,36927,FAB. INSTRUMENTOS MUSICALES.,,,,,
ciiu_145,pe_ciiu,36930,FAB. ARTICULOS DEPORTIVOS.,,,,,
ciiu_146,pe_ciiu,36942,FAB. DE JUEGOS Y JUGUETES.,,,,,
ciiu_147,pe_ciiu,36996,OTRAS INDUSTRIAS  MANUFACTURERAS NCP.,,,,,
ciiu_148,pe_ciiu,37100,RECICLAMIENTO DESPERDICIOS METALIC.,,,,,
ciiu_149,pe_ciiu,37201,RECICLAMIENTO DESPERDICIOS NO METAL.,,,,,
ciiu_150,pe_ciiu,40104,GENERACION  Y DIST. ENERGIA ELECTRICA.,,,,,
ciiu_151,pe_ciiu,40205,"FAB. DE GAS, DISTRIBUCION COMBUSTIBLE.",,,,,
ciiu_152,pe_ciiu,40306,SUMINISTRO DE VAPOR Y AGUA CALIENTE.,,,,,
ciiu_153,pe_ciiu,41000,"CAPTACION ,  DEPURACION  Y DIST. DE AGUA.",,,,,
