id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date
element_11,see_tabla_01,sync,Síncrono para Factura Electrónica,Síncrono para Factura Electrónica,,,,
element_12,see_tabla_01,RC,Resumen diario de Boletas,Resumen diario de Boletas,,,,
element_13,see_tabla_01,RA,Comunicación de Bajas,Comunicación de Bajas,,,,
element_05_1,see_catalogo_05,1000,IGV Impuesto general a las ventas,VAT,,,,
element_05_2,see_catalogo_05,2000,ISC Impuesto selectivo al consumo,EXC,,,,
element_05_3,see_catalogo_05,9999,Otros conceptos de pago,OTH,,,,
element_07_1,see_catalogo_07,10,Gravado - Operación Onerosa,Gravado - Operación Onerosa,,,,
element_07_2,see_catalogo_07,11,Gravado - Retiro por premio,Gravado - Retiro por premio,,,,
element_07_3,see_catalogo_07,12,Gravado - Retiro por donación,Gravado - Retiro por donación,,,,
element_07_4,see_catalogo_07,13,Gravado - Retiro,Gravado - Retiro,,,,
element_07_5,see_catalogo_07,14,Gravado - Retiro por publicidad,Gravado - Retiro por publicidad,,,,
element_07_6,see_catalogo_07,15,Gravado - Bonificaciones,Gravado - Bonificaciones,,,,
element_07_7,see_catalogo_07,16,Gravado - Retiro por entrega a trabajadores,Gravado - Retiro por entrega a trabajadores,,,,
element_07_8,see_catalogo_07,20,Exonerado - Operación Onerosa,Exonerado - Operación Onerosa,,,,
element_07_9,see_catalogo_07,30,Inafecto - Operación Onerosa,Inafecto - Operación Onerosa,,,,
element_07_10,see_catalogo_07,31,Inafecto - Retiro por bonificación,Inafecto - Retiro por bonificación,,,,
element_07_11,see_catalogo_07,32,Inafecto - Retiro,Inafecto - Retiro,,,,
element_07_12,see_catalogo_07,33,Inafecto - Retiro por muestras médicas,Inafecto - Retiro por muestras médicas,,,,
element_07_13,see_catalogo_07,34,Inafecto - Retiro por convenio colectivo,Inafecto - Retiro por convenio colectivo,,,,
element_07_14,see_catalogo_07,35,Inafecto - Retiro por premio,Inafecto - Retiro por premio,,,,
element_07_15,see_catalogo_07,36,Inafecto - Retiro por publicidad,Inafecto - Retiro por publicidad,,,,
element_07_16,see_catalogo_07,40,Exportación,Exportación,,,,
element_09_01,see_catalogo_09,01,Anulación de la Operación,Anulación de la Operación,,,,
element_09_02,see_catalogo_09,02,Anulación por error en el RUC,Anulación por error en el RUC,,,,
element_09_03,see_catalogo_09,03,Corrección por error en la descripción,Corrección por error en la descripción,,,,
element_09_04,see_catalogo_09,04,Descuento Global,Descuento Global,,,,
element_09_05,see_catalogo_09,05,Descuento por item,Descuento por item,,,,
element_09_06,see_catalogo_09,06,Devolución total,Devolución total,,,,
element_09_07,see_catalogo_09,07,Devolución por item,Devolución por item,,,,
element_09_08,see_catalogo_09,08,Bonificación,Bonificación,,,,
element_09_09,see_catalogo_09,09,Disminución en el valor,Disminución en el valor,,,,
element_09_10,see_catalogo_09,10,Otros conceptos,Otros conceptos,,,,
element_10_01,see_catalogo_10,01,Intereses por mora,Intereses por mora,,,,
element_10_02,see_catalogo_10,02,Aumento del valor,Aumento del valor,,,,
element_10_03,see_catalogo_10,03,Penalidades/ otros conceptos,Penalidades/ otros conceptos,,,,
element_11_01,see_catalogo_11,01,Gravado,Gravado,,,,
element_11_02,see_catalogo_11,02,Exonerado,Exonerado,,,,
element_11_03,see_catalogo_11,03,Inafecto,Inafecto,,,,
element_11_04,see_catalogo_11,04,Exportación,Exportación,,,,
element_11_05,see_catalogo_11,05,Gratuitas,Gratuitas,,,,
element_14_01,see_catalogo_14,1001,Total valor venta – operaciones gravadas,Total valor venta – operaciones gravadas,,,,
element_14_02,see_catalogo_14,1002,Total valor venta – operaciones inafectas,Total valor venta – operaciones inafectas,,,,
element_14_03,see_catalogo_14,1003,Total valor venta – operaciones exoneradas,Total valor venta – operaciones exoneradas,,,,
element_14_04,see_catalogo_14,1004,Total valor venta – operaciones gratuitas,Total valor venta – operaciones gratuitas,,,,
element_14_05,see_catalogo_14,1005,Sub total de venta,Sub total de venta,,,,
element_14_06,see_catalogo_14,2001,Percepciones,Percepciones,,,,
element_14_07,see_catalogo_14,2002,Retenciones,Retenciones,,,,
element_14_08,see_catalogo_14,2003,Detracciones,Detracciones,,,,
element_14_09,see_catalogo_14,2004,Bonificaciones,Bonificaciones,,,,
element_14_10,see_catalogo_14,2005,Total descuentos,Total descuentos,,,,
element_14_11,see_catalogo_14,3001,FISE (Ley 29852) Fondo Inclusión Social Energético,FISE (Ley 29852) Fondo Inclusión Social Energético,,,,
element_15_01,see_catalogo_15,1000,Monto en letras,Monto en letras,,,,
element_15_02,see_catalogo_15,1002,Transferencia Gratuita De Bien Y/O Servicio Prestado Gratuitamente,Leyenda “transferencia Gratuita De Bien Y/O Servicio Prestado Gratuitamente”,,,,
element_15_03,see_catalogo_15,2000,Comprobante de percepción,Leyenda “Comprobante de percepción”,,,,
element_15_04,see_catalogo_15,2001,Bienes transferidos en la amazonía región selva para ser consumidos en la misma,Leyenda “Bienes transferidos en la amazonía región selva para ser consumidos en la misma”,,,,
element_15_05,see_catalogo_15,2002,Servicios prestados en la amazonía región selva para ser consumidos en la misma,Leyenda “Servicios prestados en la amazonía región selva para ser consumidos en la misma”,,,,
element_15_06,see_catalogo_15,2003,Contratos de construcción ejecutados en la amazonía región selva,Leyenda “Contratos de construcción ejecutados en la amazonía región selva”,,,,
element_15_07,see_catalogo_15,2004,Agencia de viajes paquete turístico,Leyenda “Agencia de viajes paquete turístico”,,,,
element_15_08,see_catalogo_15,2005,Venta realizada por emisor itinerante,Leyenda “Venta realizada por emisor itinerante”,,,,
element_15_09,see_catalogo_15,2006,Leyenda: Operación Sujeta a detracción,Leyenda: Operación Sujeta a detracción,,,,
element_15_10,see_catalogo_15,3000,Detracciones: Código de BB y SS sujeto a detracción,Detracciones: Código de BB y SS sujeto a detracción,,,,
element_15_11,see_catalogo_15,3001,Detracciones: Numero de CTA en el BN,Detracciones: Numero de CTA en el BN,,,,
element_15_12,see_catalogo_15,3002,Detracciones: Recursos hidrológicos – Nombre y matricula de embarcación,Detracciones: Recursos hidrológicos – Nombre y matricula de embarcación,,,,
element_15_13,see_catalogo_15,3003,Detracciones: Recursos hidrológicos – Tipo y cantidad de especie vendida,Detracciones: Recursos hidrológicos – Tipo y cantidad de especie vendida,,,,
element_15_14,see_catalogo_15,3004,Detracciones: Recursos hidrológicos – Lugar de descarga,Detracciones: Recursos hidrológicos – Lugar de descarga,,,,
element_15_15,see_catalogo_15,3005,Detracciones: Recursos hidrológicos – Fecha de descarga,Detracciones: Recursos hidrológicos – Fecha de descarga,,,,
element_15_16,see_catalogo_15,3006,Detracciones: Transporte Bienes vía terrestre – Registro MTC,Detracciones: Transporte Bienes vía terrestre – Registro MTC,,,,
element_15_17,see_catalogo_15,3007,Detracciones: Transporte Bienes vía terrestre – Configuración vehicular,Detracciones: Transporte Bienes vía terrestre – Configuración vehicular,,,,
element_15_18,see_catalogo_15,3008,Detracciones: Transporte Bienes vía terrestre – Punto de origen,Detracciones: Transporte Bienes vía terrestre – Punto de origen,,,,
element_15_19,see_catalogo_15,3009,Detracciones: Transporte Bienes vía terrestre – Punto destino,Detracciones: Transporte Bienes vía terrestre – Punto destino,,,,
element_15_20,see_catalogo_15,3010,Detracciones: Transporte Bienes vía terrestre – Valor referencial preliminar,Detracciones: Transporte Bienes vía terrestre – Valor referencial preliminar,,,,
element_15_21,see_catalogo_15,4000,Beneficio hospedajes: Código país de emisión del pasaporte,Beneficio hospedajes: Código país de emisión del pasaporte,,,,
element_15_22,see_catalogo_15,4001,Beneficio hospedajes: Código país de residencia del sujeto no domiciliado,Beneficio hospedajes: Código país de residencia del sujeto no domiciliado,,,,
element_15_23,see_catalogo_15,4002,Beneficio hospedajes: Fecha de ingreso al país,Beneficio hospedajes: Fecha de ingreso al pais,,,,
element_15_24,see_catalogo_15,4003,Beneficio hospedajes: Fecha de ingreso al establecimiento,Beneficio hospedajes: Fecha de ingreso al establecimiento,,,,
element_15_25,see_catalogo_15,4004,Beneficio hospedajes: Fecha de salida del establecimiento,Beneficio hospedajes: Fecha de salida del establecimiento,,,,
element_15_26,see_catalogo_15,4005,Beneficio hospedajes: Numero de días de permanencia,Beneficio hospedajes: Numero de dias de permanencia,,,,
element_15_27,see_catalogo_15,4006,Beneficio hospedajes: Fecha de consumo,Beneficio hospedajes: Fecha de consumo,,,,
element_15_28,see_catalogo_15,4007,Beneficio hospedajes: Paquete turístico – Nombres y Apellidos del Huésped,Beneficio hospedajes: Paquete turístico – Nombres y Apellidos del Huesped,,,,
element_15_29,see_catalogo_15,4008,Beneficio hospedajes: Paquete turístico – Tipo de documento de identidad del Huésped,Beneficio hospedajes: Paquete turístico – Tipo de documento de identidad del Huesped,,,,
element_15_30,see_catalogo_15,4009,Beneficio hospedajes: Paquete turístico – Numero de documento de identidad del Huésped,Beneficio hospedajes: Paquete turístico – Numero de documento de identidad del Huesped,,,,
element_15_31,see_catalogo_15,5000,Proveedores Estado: Número de expediente,Proveedores Estado: Número de expediente,,,,
element_15_32,see_catalogo_15,5001,Proveedores Estado: Código de la unidad ejecutora,Proveedores Estado: Código de la unidad ejecutora,,,,
element_15_33,see_catalogo_15,5002,Proveedores Estado: N° del proceso de selección,Proveedores Estado: N° del proceso de selección,,,,
element_15_34,see_catalogo_15,5003,Proveedores Estado: N° de contrato,Proveedores Estado: N° de contrato,,,,
element_15_35,see_catalogo_15,6000,Comercialización de Oro: Código único de Concesión Minera,Comercialización de Oro: Código único de Concesión Minera,,,,
element_15_36,see_catalogo_15,6001,Comercialización de Oro: N° declaración de compromiso,Comercialización de Oro: N° declaracion de compromiso,,,,
element_15_37,see_catalogo_15,6002,Comercialización de Oro: N° Reg. Especial Comerci. Oro,Comercialización de Oro: N° Reg. Especial Comerci. Oro,,,,
element_15_38,see_catalogo_15,6003,Comercialización de Oro: N° Resolución que autoriza Planta de Beneficio,Comercialización de Oro: N° Resolucion que autoriza Planta de Beneficio,,,,
element_15_39,see_catalogo_15,6004,Comercialización de Oro: Ley Mineral (% concent. Oro),Comercialización de Oro: Ley Mineral (% concent. Oro),,,,
element_16_1,see_catalogo_16,01,Precio unitario (incluye el IGV),Precio unitario (incluye el IGV),,,,
element_16_2,see_catalogo_16,02,Valor referencial unitario en operaciones no onerosas,Valor referencial unitario en operaciones no onerosas,,,,
element_2_0000,see_tabla_02,0000,OK,OK,,,,
element_2_0100,see_tabla_02,0100,El sistema no puede responder su solicitud. Intente nuevamente o comuníquese con su Administrador ,El sistema no puede responder su solicitud. Intente nuevamente o comuníquese con su Administrador ,,,,
element_2_0101,see_tabla_02,0101,El encabezado de seguridad es incorrecto ,El encabezado de seguridad es incorrecto ,,,,
element_2_0102,see_tabla_02,0102,Usuario o contraseña incorrectos ,Usuario o contraseña incorrectos ,,,,
element_2_0103,see_tabla_02,0103,El Usuario ingresado no existe ,El Usuario ingresado no existe ,,,,
element_2_0104,see_tabla_02,0104,La Clave ingresada es incorrecta ,La Clave ingresada es incorrecta ,,,,
element_2_0105,see_tabla_02,0105,El Usuario no está activo ,El Usuario no está activo ,,,,
element_2_0106,see_tabla_02,0106,El Usuario no es válido ,El Usuario no es válido ,,,,
element_2_0109,see_tabla_02,0109,El sistema no puede responder su solicitud. (El servicio de autenticación no está disponible) ,El sistema no puede responder su solicitud. (El servicio de autenticación no está disponible) ,,,,
element_2_0110,see_tabla_02,0110,No se pudo obtener la información del tipo de usuario ,No se pudo obtener la informacion del tipo de usuario ,,,,
element_2_0111,see_tabla_02,0111,No tiene el perfil para enviar comprobantes electronicos ,No tiene el perfil para enviar comprobantes electronicos ,,,,
element_2_0112,see_tabla_02,0112,El usuario debe ser secundario ,El usuario debe ser secundario ,,,,
element_2_0113,see_tabla_02,0113,El usuario no esta afiliado a Factura Electronica ,El usuario no esta afiliado a Factura Electronica ,,,,
element_2_0125,see_tabla_02,0125,No se pudo obtener la constancia ,No se pudo obtener la constancia ,,,,
element_2_0126,see_tabla_02,0126,El ticket no le pertenece al usuario ,El ticket no le pertenece al usuario ,,,,
element_2_0127,see_tabla_02,0127,El ticket no existe ,El ticket no existe ,,,,
element_2_0130,see_tabla_02,0130,El sistema no puede responder su solicitud. (No se pudo obtener el ticket de proceso) ,El sistema no puede responder su solicitud. (No se pudo obtener el ticket de proceso) ,,,,
element_2_0131,see_tabla_02,0131,El sistema no puede responder su solicitud. (No se pudo grabar el archivo en el directorio) ,El sistema no puede responder su solicitud. (No se pudo grabar el archivo en el directorio) ,,,,
element_2_0132,see_tabla_02,0132,El sistema no puede responder su solicitud. (No se pudo grabar escribir en el archivo zip) ,El sistema no puede responder su solicitud. (No se pudo grabar escribir en el archivo zip) ,,,,
element_2_0133,see_tabla_02,0133,El sistema no puede responder su solicitud. (No se pudo grabar la entrada del log) ,El sistema no puede responder su solicitud. (No se pudo grabar la entrada del log) ,,,,
element_2_0134,see_tabla_02,0134,El sistema no puede responder su solicitud. (No se pudo grabar en el storage) ,El sistema no puede responder su solicitud. (No se pudo grabar en el storage) ,,,,
element_2_0135,see_tabla_02,0135,El sistema no puede responder su solicitud. (No se pudo encolar el pedido) ,El sistema no puede responder su solicitud. (No se pudo encolar el pedido) ,,,,
