id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date
element_1,sunat_tabla_01,001,DEPÓSITO EN CUENTA,DEPÓSITO EN CUENTA,,,,
element_2,sunat_tabla_01,002,GIRO,GIRO,,,,
element_3,sunat_tabla_01,003,TRANSFERENCIA DE FONDOS,TRANSFERENCIA DE FONDOS,,,,
element_4,sunat_tabla_01,004,ORDEN DE PAGO,ORDEN DE PAGO,,,,
element_5,sunat_tabla_01,005,TARJETA DE DÉBITO,TARJETA DE DÉBITO,,,,
element_6,sunat_tabla_01,006,TARJETA DE CRÉDITO,TARJETA DE CRÉDITO,,,,
element_7,sunat_tabla_01,007,"CHEQUES CON LA CLÁUSULA DE ""NO NEGOCIABLE"", ""INTRANSFERIBLES"", ""NO A LA ORDEN"" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO F) DEL ARTICULO 5° DEL DECRETO LEGISLATIVO.","CHEQUES CON LA CLÁUSULA DE ""NO NEGOCIABLE"", ""INTRANSFERIBLES"", ""NO A LA ORDEN"" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO F) DEL ARTICULO 5° DEL DECRETO LEGISLATIVO.",,,,
element_8,sunat_tabla_01,008,"EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIOS DE PAGO","EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIOS DE PAGO",,,,
element_9,sunat_tabla_01,009,"EFECTIVO, EN LOS DEMÁS CASOS","EFECTIVO, EN LOS DEMÁS CASOS",,,,
element_10,sunat_tabla_01,010,MEDIOS DE PAGO DE COMERCIO EXTERIOR,MEDIOS DE PAGO DE COMERCIO EXTERIOR,,,,
element_11,sunat_tabla_01,011,LETRAS DE CAMBIO,LETRAS DE CAMBIO,,,,
element_12,sunat_tabla_01,101,TRANSFERENCIAS - COMERCIO EXTERIOR,TRANSFERENCIAS - COMERCIO EXTERIOR,,,,
element_13,sunat_tabla_01,102,CHEQUES BANCARIOS  - COMERCIO EXTERIOR,CHEQUES BANCARIOS  - COMERCIO EXTERIOR,,,,
element_14,sunat_tabla_01,103,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR,,,,
element_15,sunat_tabla_01,104,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR,,,,
element_16,sunat_tabla_01,105,REMESA SIMPLE  - COMERCIO EXTERIOR,REMESA SIMPLE  - COMERCIO EXTERIOR,,,,
element_17,sunat_tabla_01,106,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR,,,,
element_18,sunat_tabla_01,107,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR,,,,
element_19,sunat_tabla_01,108,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR,,,,
element_20,sunat_tabla_01,999,OTROS MEDIOS DE PAGO,OTROS MEDIOS DE PAGO,,,,
element_21,sunat_tabla_02,0,OTROS TIPOS DE DOCUMENTOS,OTROS TIPOS DE DOCUMENTOS,,,,
element_22,sunat_tabla_02,1,DOCUMENTO NACIONAL DE IDENTIDAD (DNI),DOCUMENTO NACIONAL DE IDENTIDAD (DNI),,,,
element_23,sunat_tabla_02,4,CARNET DE EXTRANJERIA,CARNET DE EXTRANJERIA,,,,
element_24,sunat_tabla_02,6,REGISTRO ÚNICO DE CONTRIBUYENTES,REGISTRO ÚNICO DE CONTRIBUYENTES,,,,
